Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Other Shrub,Lamiaceae,Rosmarinus*,officinalis,Rosemary,No,Unknown,Group,
Other Shrub,Rosaceae,Rubus,parvifolius,Wild Rasberry,Yes,Unknown,Group,
Other Shrub,Rosaceae,Rubus*,fruticosus,Blackberry,No,Unknown,Group,
Other Shrub,Solanaceae,Solanum,cinereum,Narrawa Burr,Yes,Unknown,Group,"<a href=""news/Jun10.pdf"">June 2010</a><br><a href=""news/Dec15.pdf"">December 2015</a>"
Other Shrub,Solanaceae,Solanum,linearifolium,Mountain Kangaroo Apple,Yes,Unknown,Group,
Other Shrub,Solanaceae,Solanum*,pseudocapsicum,Jerusalem Cherry,No,Unknown,Group,
Other Shrub,Adoxaceae,Viburnum*,tinus,Laurustinus,No,Unknown,Group,
Other Tree,Casuarinaceae,Allocasuarina,verticillata,Drooping Sheoak,Yes,Unknown,Group,
Other Tree,Sterculiaceae,Brachychiton,populneus,Kurrajong,Yes,Unknown,Group,"<a href=""news/Mar09.pdf"">March 2009</a>"
Other Tree,Ulmaceae,Celtis*,australis,"Thistle Tree, Southern Nettle Tree, European Hackberry, Micocoulier",No,Unknown,Group,"<a href=""news/Feb14.pdf"">February 2014</a>"
Other Tree,Santalaceae,Exocarpos,cupressiformis,Native Cherry,Yes,Unknown,Group,
Other Tree,Oleaceae,Fraxinus*,sp,Ash,No,Unknown,Group,
Other Tree,Sapindaceae,Koelreuteria*,paniculata,Golden Rain Tree,No,Unknown,Group,
Other Tree,Oleaceae,Ligustrum*,sinense,Small-leaved Privet,No,Unknown,Group,"<a href=""news/May12.pdf"">May 2012</a>"
Other Tree,Pinaceae,Pinus*,radiata,Monterey Pine,No,Unknown,Group,
Other Tree,Anacardiaceae,Pistacia*,sp,Pistachio,No,Unknown,Group,
Other Tree,Rosaceae,Prunus *,sp,,No,Unknown,Group,
Other Tree,Rosaceae,Pyrus*,sp,Pear,No,Unknown,Group,
Other Tree,Rubiaceae,Sorbus*,aucuparia,Rowan Tree,No,Unknown,Group,
Other Tree,Rubiaceae,Sorbus*,domestica,Service Tree,No,Unknown,Group,"<a href=""news/May13.pdf"">May 2013</a>"
Other Tree,Ulmaceae,Ulmus*,parvifolia,Chinese Elm,No,Unknown,Group,
Other Wildflower,Rosaceae,Acaena,novae-zelandiae,Bidgee-widgee,Yes,Unknown,Group,
Other Wildflower,Rosaceae,Acaena,ovina,Sheep's Burr,Yes,Unknown,Group,
Other Wildflower,Polygonaceae,Acetosella*,vulgaris,Sorrel,No,Unknown,Group,
Other Wildflower,Amaranthaceae,Alternanthera*,nana,Hairy Joyweed,Yes,Unknown,Group,
Other Wildflower,Amaranthaceae,Alternanthera*,pungens,Khaki Weed,Yes,Unknown,Group,"<a href=""news/Apr11.pdf"">April 2011</a>"
Other Wildflower,Amaranthaceae,Amaranthus*,albus,Tumbleweed,No,Unknown,Group,
Other Wildflower,Amaranthaceae,Amaranthus*,powellii,Powell's Amaranth,No,Unknown,Group,
Other Wildflower,Amaranthaceae,Amaranthus*,retroflexus,Red Root,No,Unknown,Group,
Other Wildflower,Boraginaceae,Amsinckia*,intermedia,Common Fiddleneck,No,Unknown,Group,
Other Wildflower,Primulaceae,Anagallis*,arvensis,Pimpernel,No,Unknown,Group,
Other Wildflower,Asparagaceae,Asparagus*,officinalis,Asparagus,No,Unknown,Group,
Other Wildflower,Rubiaceae,Asperula,conferta,Common Woodruff,Yes,Unknown,Group,
Other Wildflower,Boraginaceae,Buglossoides*,arvensis,Sheepwell,No,Unknown,Group,
Other Wildflower,Brassicaceae,Capsella*,bursa-pastoris,Shepherd's Purse,No,Unknown,Group,
Other Wildflower,Gentianaceae,Centaurium*,erythraea,Common Centaury,No,Unknown,Group,
Other Wildflower,Gentianaceae,Centaurium*,tenuiflorum,,No,Unknown,Group,"<a href=""news/Jan12.pdf"">January 2012</a>"
Other Wildflower,Valerianaceae,Centranthus*,ruber,Kiss-me-quick,No,Unknown,Group,
Other Wildflower,Caryophyllaceae,Cerastium*,glomeratum,Mouse-ear Chickweed,No,Unknown,Group,"<a href=""news/Oct09.pdf"">October 2009</a>"
Other Wildflower,Euphorbiaceae,Chamaesyce,drummondii,Caustic Weed,Yes,Unknown,Group,
Other Wildflower,Chenopodiaceae,Chenopodium,pumilio,Small Crumbweed,Yes,Unknown,Group,
Other Wildflower,Chenopodiaceae,Chenopodium*,album,Fat Hen,No,Unknown,Group,
Other Wildflower,Apiaceae,Conium*,maculatum,Hemlock,No,Unknown,Group,
Other Wildflower,Rosaceae,Cotoneaster*,glaucophylla,Cotoneaster,No,Unknown,Group,
Other Wildflower,Crassulaceae,Crassula,sieberiana,Australian Stonecrop,Yes,Unknown,Group,
Other Wildflower,Cucurbitaceae,Cucumis*,myriocarpus,Paddymelon,No,Unknown,Group,
Other Wildflower,Apiaceae,Cyclospermum*,leptophyllum,Slender Celery,No,Unknown,Group,"<a href=""news/Apr15.pdf"">April 2015</a>"
Other Wildflower,Boraginaceae,Cynoglossum,australe,Australian Hound's Tooth,Yes,Unknown,Group,
Other Wildflower,Boraginaceae,Cynoglossum,suaveolens,Sweet Hound's Tooth,Yes,Unknown,Group,
Other Wildflower,Solanaceae,Datura*,stramonium,Common Thornapple,No,Unknown,Group,
Other Wildflower,Apiaceae,Daucus,glochidiatus,Native Carrot,Yes,Unknown,Group,
Other Wildflower,Convolvulaceae,Dichondra,repens,Kidney Weed,Yes,Unknown,Group,
Other Wildflower,Boraginaceae,Echium*,plantagineum,Paterson's Curse,No,Unknown,Group,
Other Wildflower,Boraginaceae,Echium*,vulgare,Viper's Bugloss,No,Unknown,Group,
Other Wildflower,Chenopodiaceae,Einadia,nutans subsp. nutans,Climbing Saltbush,Yes,Unknown,Group,"<a href=""news/Jul14.pdf"">July 14</a>"
Other Wildflower,Chenopodiaceae,Einadia,sp,,Yes,Unknown,Group,
Other Wildflower,Onagraceae,Epilobium,billardierianum,Hairy Willow Herb,Yes,Unknown,Group,
Other Wildflower,Geraniaceae,Erodium,crinitum,Blue Crowfoot,Yes,Unknown,Group,
Other Wildflower,Geraniaceae,Erodium*,botrys,Long Storksbill,No,Unknown,Group,
Other Wildflower,Geraniaceae,Erodium*,cicutarium,Common Crowfoot,No,Unknown,Group,
Other Wildflower,Geraniaceae,Erodium*,moschatum,Musky Crowfoot,No,Unknown,Group,
Other Wildflower,Apiaceae,Eryngium,ovinum,Blue Devil,Yes,Unknown,Group,
Other Wildflower,Euphorbiaceae,Euphorbia,dallachyana,,Yes,Unknown,CNM,
Other Wildflower,Euphorbiaceae,Euphorbia*,depauperata,Spurge,No,Unknown,Group,
Other Wildflower,Apiaceae,Foeniculum*,vulgare,Fennel,No,Unknown,Group,
Other Wildflower,Rubiaceae,Galium,gaudichaudii,Rough Bedstraw,Yes,Unknown,Group,
Other Wildflower,Rubiaceae,Galium*,aparine,"Cleavers, Goose Grass, Cachweed, Stickyweed",No,Unknown,Group,"<a href=""news/Nov15.pdf"">November 2015</a>"
Other Wildflower,Geraniaceae,Geranium,retrorsum,Grassland Cranesbill ,Yes,Unknown,CNM,
Other Wildflower,Geraniaceae,Geranium,solanderi,Native Geranium,Yes,Unknown,Group,
Other Wildflower,Haloragaceae,Gonocarpus,tetragynus,Gonocarpus,Yes,Unknown,Group,
Other Wildflower,Goodeniaceae,Goodenia,hederacea,Forest Goodenia,Yes,Unknown,Group,
Other Wildflower,Goodeniaceae,Goodenia,heterophylla,Goodenia,Yes,Unknown,Group,
Other Wildflower,Haloragaceae,Haloragis,heterophylla,Variable Raspwort,Yes,Unknown,Group,
Other Wildflower,Brassicaceae,Hirschfeldia*,incana,Buchan Weed,No,Unknown,Group,
Other Wildflower,Apiaceae,Hydrocotyle,laxiflora,Stinking Pennywort,Yes,Unknown,Group,
Other Wildflower,Clusiaceae,Hypericum,gramineum,Small St.John's Wort,Yes,Unknown,Group,
Other Wildflower,Clusiaceae,Hypericum*,perforatum,St John's Wort,No,Unknown,Group,
Other Wildflower,Lobeliaceae,Isotoma,fluviatilis,Swamp Isotome,Yes,Unknown,Group,
Other Wildflower,Brassicaceae,Lepidium*,africanum,Peppercress,No,Unknown,Group,
Other Wildflower,Scrophulariaceae,Linaria*,arvensis,Corn Toadflax,No,Unknown,Group,
Other Wildflower,Scrophulariaceae,Linaria*,pelisseriana,Pelisser's Toadflax,No,Unknown,Group,
Other Wildflower,Linaceae,Linum,marginale,Native Flax,Yes,Unknown,Group,
Other Wildflower,Linaceae,Linum*,usitatissimum,Linseed,No,Unknown,Group,
Other Wildflower,Lythraceae,Lythrum,hyssopifolia,Hyssop Loosestrife,Yes,Unknown,Group,
Other Wildflower,Malvaceae,Malva *,neglecta,Dwarf Mallow,No,Unknown,Group,
Other Wildflower,Malvaceae,Malva*,parviflora,Small-flowered Mallow,No,Unknown,Group,
Other Wildflower,Lamiaceae,Marrubium*,vulgare,Horehound,No,Unknown,Group,
Other Wildflower,Lamiaceae,Mentha,diemenica,Slender Mint,Yes,Unknown,Group,
Other Wildflower,Lamiaceae,Mentha,laxiflora,Forest Mint,Yes,Unknown,Group,"<a href=""news/Jan13.pdf"">January 2013</a>"
Other Wildflower,Malvaceae,Modiola*,caroliniana,"Carolina Mallow, Red-flowered Mallow",No,Unknown,Group,
Other Wildflower,Caryophyllaceae,Moenchia*,erecta,Erect Chickweed,No,Unknown,Group,
Other Wildflower,Onagraceae,Oenothera*,stricta,Evening Primrose,No,Unknown,Group,
Other Wildflower,Rubiaceae,Opercularia,hispida,Hairy Stinkweed,Yes,Unknown,Group,
Other Wildflower,Lamiaceae,Origanum*,vulgare,Oregano,No,Unknown,Group,
Other Wildflower,Scrophulariaceae,Orobanche*,minor,Broomrape,No,Unknown,Group,
Other Wildflower,Oxalidaceae,Oxalis,perennans,,Yes,Unknown,Group,
Other Wildflower,Oxalidaceae,Oxalis,radicosa,,Yes,Unknown,Group,
Other Wildflower,Oxalidaceae,Oxalis*,corniculata,Yellow Wood-sorrel,No,Unknown,Group,
Other Wildflower,Oxalidaceae,Oxalis*,thompsoniae,,No,Unknown,Group,
Other Wildflower,Asclepiadaceae,Oxypetalum*,coeruleum,Tweedia,No,Unknown,Group,"<a href=""news/Jan11.pdf"">January 2011</a>"
Other Wildflower,Papaveraceae,Papaver*,dubium,Longhead Poppy,No,Unknown,Group,
Other Wildflower,Papaveraceae,Papaver*,somniferum,Opium Poppy,No,Unknown,Group,
Other Wildflower,Scrophulariaceae,Parentucellia*,latifolia,Red Bartsia,No,Unknown,Group,
Other Wildflower,Caryophyllaceae,Paronychia*,brasiliana,Chilean Whitlow,No,Unknown,Group,
Other Wildflower,Geraniaceae,Pelargonium,australe,Native Storkbill,Yes,Unknown,Group,"<a href=""news/Dec10.pdf"">December 2010</a>"
Other Wildflower,Polygonaceae,Persicaria,lapathifolia,Pale Knotweed,Yes,Unknown,Group,"<a href=""news/Apr09.pdf"">April 2009</a>"
Other Wildflower,Polygonaceae,Persicaria,prostrata,Creeping Knotweed,Yes,Unknown,Group,"<a href=""news/Apr09.pdf"">April 2009</a>"
Other Wildflower,Polygonaceae,Persicaria*,hydropiper,Water Pepper,No,Unknown,Group,
Other Wildflower,Caryophyllaceae,Petrorhagia*,nanteuilii,Proliferous Pink,No,Unknown,Group,
Other Wildflower,Verbenaceae,Phyla*,nodiflora,Lippia,No,Unknown,Group,
Other Wildflower,Plantaginaceae,Plantago,varia,Variable Plantain,Yes,Unknown,Group,
Other Wildflower,Plantaginaceae,Plantago*,lanceolata,Plantain,No,Unknown,Group,"<a href=""news/Aug12.pdf"">August 2012</a>"
Other Wildflower,Polygonaceae,Polygonum*,aviculare,Wire Weed,No,Unknown,Group,"<a href=""news/Feb13.pdf"">February 2013</a>"
Other Wildflower,Euphorbiaceae,Poranthera,microphylla,Small Poranthera,Yes,Unknown,Group,
Other Wildflower,Portulacaceae,Portulaca,oleracea,Pigweed,Yes,Unknown,Group,
Other Wildflower,Ranunculaceae,Ranunculus,pumilio,,Yes,Unknown,Group,
Other Wildflower,Ranunculaceae,Ranunculus,sceleratus,Celery Buttercup,Yes,Unknown,Group,"<a href=""news/Aug13.pdf"">August 2013</a>"
Other Wildflower,Polygonaceae,Rumex,brownii,Swamp Dock,Yes,Unknown,Group,
Other Wildflower,Polygonaceae,Rumex*,crispus,Curled Dock,No,Unknown,Group,
Other Wildflower,Lamiaceae,Salvia*,verbenaca,Wild Sage,No,Unknown,Group,
Other Wildflower,Rosaceae,Sanguisorba*,minor,Sheep's Burnet,No,Unknown,Group,
Other Wildflower,Goodeniaceae,Scaevola,aemula,Fairy Fanflower,Yes,Unknown,Group,
Other Wildflower,Caryophyllaceae,Silene*,gallica,French Catchfly,No,Unknown,Group,"<a href=""news/Nov10.pdf"">November 2010</a>"
Other Wildflower,Brassicaceae,Sisymbrium*,orientale,Indian Hedge Mustard,No,Unknown,Group,
Other Wildflower,Solanaceae,Solanum*,lycopersicon,Tomato,No,Unknown,Group,
Other Wildflower,Solanaceae,Solanum*,nigrum,Black-berry Nightshade,No,Unknown,Group,
Other Wildflower,Solanaceae,Solanum*,triflorum,Three-flowered Nightshade,No,Unknown,Group,
Other Wildflower,Caryophyllaceae,Spergularia*,rubra,Sandspurry,No,Unknown,Group,
Other Wildflower,Stackhousiaceae,Stackhousia,monogyna,Creamy Candles,Yes,Unknown,Group,"<a href=""news/Sept09.pdf"">Septeber 2009</a>"
Other Wildflower,Caryophyllaceae,Stellaria,pungens,Prickly Starwort,Yes,Unknown,Group,
Other Wildflower,Zygophyllaceae,Tribulus*,terrestris,Caltrop,No,Unknown,Group,
Other Wildflower,Ulmaceae,Urtica*,urens,Small Nettle,No,Unknown,Group,
Other Wildflower,Scrophulariaceae,Verbascum*,thapsus,Aaron's Rod,No,Unknown,Group,
Other Wildflower,Scrophulariaceae,Verbascum*,virgatum,Twiggy Mullein,No,Unknown,Group,
Other Wildflower,Verbenaceae,Verbena*,bonariensis,Purpletop,No,Unknown,Group,"<a href=""news/Apr13.pdf"">April 2013</a>"
Other Wildflower,Scrophulariaceae,Veronica *,anagallis-aquatica,Blue Water-Speedwell,No,Unknown,Group,
Other Wildflower,Caprifoliaceae,Viburnum*,sp,Viburnum,No,Unknown,Group,
Other Wildflower,Apocynaceae,Vinca*,major,Periwinkle,No,Unknown,Group,
Other Wildflower,Violaceae,Viola*,odorata,Sweet Violet,No,Unknown,Group,
Other Wildflower,Campanulaceae,Wahlenberbia,luteola,,Yes,Unknown,Group,
Other Wildflower,Campanulaceae,Wahlenbergia,ceracea,Waxy Bluebell,Yes,Unknown,Group,
Other Wildflower,Campanulaceae,Wahlenbergia,communis,Tufted Bluebell,Yes,Unknown,Group,"<a href=""news/May10.pdf"">May 2010</a>"
Other Wildflower,Campanulaceae,Wahlenbergia,gracilis,Australian Bluebell,Yes,Unknown,Group,"<a href=""news/May10.pdf"">May 2010</a>"
Other Wildflower,Campanulaceae,Wahlenbergia,stricta,Tall Bluebell,Yes,Unknown,Group,
Pea,Fabaceae,Bossiaea,buxifolia,Bush Pea ,Yes,Unknown,CNM,
Pea,Fabaceae,Daviesia,mimosoides,Leafy Bitter-pea,Yes,Unknown,Group,
Pea,Fabaceae,Desmodium,varians,Slender Tick-trefoil,Yes,Unknown,Group,
Pea,Fabaceae,Glycine,clandestina,Twining Glycine,Yes,Unknown,Group,
Pea,Fabaceae,Glycine,microphylla,Small-leaf Glycine,Yes,Unknown,Group,
Pea,Fabaceae,Glycine,tabacina,Variable Glycine,Yes,Unknown,Group,
Pea,Fabaceae,Hardenbergia,violacea,False Sarsaparilla,Yes,Unknown,Group,
Pea,Fabaceae,Hovea,heterophylla,Hovea,Yes,Unknown,Group,
Pea,Fabaceae,Hovea,linearis,Hovea,Yes,Unknown,Group,
Pea,Fabaceae,Indigofera,adesmiifolia,Tick Indigo,Yes,Unknown,Group,
Pea,Fabaceae,Indigofera,australis,Australian indigo,Yes,Unknown,Group,
Pea,Fabaceae,Medicago*,polymorpha,,No,Unknown,Group,
Pea,Fabaceae,Medicago*,sativa,Lucerne,No,Unknown,Group,
Pea,Fabaceae,Pultenaea,procumbens,Bush Pea,Yes,Unknown,Group,"<a href=""news/Nov12.pdf"">November 2012</a>"
Pea,Fabaceae,Trifolium*,angustifolium,Narrow-leaf Clover,No,Unknown,Group,
Pea,Fabaceae,Trifolium*,arvense,Rabbit's Foot Clover,No,Unknown,Group,
Pea,Fabaceae,Trifolium*,campestre,Hop Clover,No,Unknown,Group,
Pea,Fabaceae,Trifolium*,dubuim,Yellow Suckling Clover,No,Unknown,Group,
Pea,Fabaceae,Trifolium*,glomeratum,Clustered Clover,No,Unknown,Group,
Pea,Fabaceae,Trifolium*,repens,White Clover,No,Unknown,Group,
Pea,Fabaceae,Trifolium*,subterraneum,Subterranean Clover,No,Unknown,Group,
Pea,Fabaceae,Vicia*,disperma,Vetch,No,Unknown,Group,
Rush / Sedge,Cyperaceae,Carex,appressa,Tall Sedge,Yes,Unknown,Group,
Rush / Sedge,Cyperaceae,Carex,breviculmis,Short-stem Sedge,Yes,Unknown,Group,"<a href=""news/Sept14.pdf"">September 2014</a>"
Rush / Sedge,Cyperaceae,Carex,inversa,Knob Sedge,Yes,Unknown,Group,
Rush / Sedge,Cyperaceae,Cyperus*,eragrostis,Umbrella Sedge,No,Unknown,Group,
Rush / Sedge,Cyperaceae,Cyperus*,tenellus,,No,Unknown,Group,
Rush / Sedge,Cyperaceae,Eleocharis,acuta,Spike Rush,Yes,Unknown,Group,"<a href=""news/Jan16.pdf"">January 2016</a>"
Rush / Sedge,Juncaceae,Juncus,australis,,Yes,Unknown,Group,
Rush / Sedge,Juncaceae,Juncus,bufonius,Toad Rush,Yes,Unknown,Group,
Rush / Sedge,Juncaceae,Juncus,homalocaulis,,Yes,Unknown,Group,
Rush / Sedge,Juncaceae,Juncus,sarophorus,,Yes,Unknown,Group,
Rush / Sedge,Juncaceae,Juncus,subsecundus,,Yes,Unknown,Group,
Rush / Sedge,Juncaceae,Juncus,usitatus,,Yes,Unknown,Group,
Rush / Sedge,Juncaceae,Juncus,vaginatus,Rush,Yes,Unknown,Group,
Rush / Sedge,Cyperaceae,Lepidosperma,laterale,Variable Saw Sedge,Yes,Unknown,Group,
Rush / Sedge,Lomandraceae,Lomandra,bracteata,Mat-rush,Yes,Unknown,Group,
Rush / Sedge,Lomandraceae,Lomandra,filiformis ssp. coriacea,Wattle Mat-rush,Yes,Unknown,Group,
Rush / Sedge,Lomandraceae,Lomandra,filiformis ssp. filiformis,Wattle Mat-rush,Yes,Unknown,Group,
Rush / Sedge,Lomandraceae,Lomandra,longifolia,Spiny-headed Mat-rush,Yes,Unknown,Group,
Rush / Sedge,Lomandraceae,Lomandra,multiflora,Many-flowered Mat-rush,Yes,Unknown,Group,
Rush / Sedge,Juncaceae,Luzula,densiflora,Woodrush,Yes,Unknown,Group,"<a href=""news/Oct13.pdf"">October 2013</a>"
Rush / Sedge,Cyperaceae,Schoenus,apogon,Common Bog-rush,Yes,Unknown,Group,
Rush / Sedge,Typhaceae,Typha,orientalis,Broadleafed Cumbungi,Yes,Unknown,Group,"<a href=""news/Jul13.pdf"">July 2013</a>"
Wattle,Mimosaceae,Acacia,buxifolia,Box-leaved Wattle,Yes,Unknown,Group,
Wattle,Mimosaceae,Acacia,dealbata,Silver Wattle,Yes,Unknown,Group,"<a href=""news/Sept16.pdf"">September 2016</a>"
Wattle,Mimosaceae,Acacia,doratoxylon,Currawang,Yes,Unknown,Group,"<a href=""news/Oct15.pdf"">October 2015</a>"
Wattle,Mimosaceae,Acacia,genistifolia,Early Wattle,Yes,Unknown,Group,
Wattle,Mimosaceae,Acacia,implexa,Hickory Wattle,Yes,Unknown,Group,
Wattle,Mimosaceae,Acacia,mearnsii,Green /Black Wattle,Yes,Unknown,Group,
Wattle,Mimosaceae,Acacia,melanoxylon,Blackwood,Yes,Unknown,Group,"<a href=""news/Oct12.pdf"">October 2012</a>"
Wattle,Mimosaceae,Acacia,parramattensis,Wattle ,Yes,Unknown,CNM,
Wattle,Mimosaceae,Acacia,pravissima,Wedge-leaved Wattle,Yes,Unknown,Group,"<a href=""news/Oct16.pdf"">October 2016</a>"
Wattle,Mimosaceae,Acacia,rubida,Red-leaved Wattle,Yes,Unknown,Group,
Wattle,Mimosaceae,Acacia,siculiformis,Dagger Wattle,Yes,Unknown,Group,
Wattle,Mimosaceae,Acacia,viscidula,Sticky Wattle,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,baileyana,Cootamundra Wattle,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,boormanii,Snowy River Wattle,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,caesiella,Tableland Wattle,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,calamifolia,Wallowa,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,cultriformis,Knife-leaved Wattle,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,decurrens,"Black, Green Wattle",No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,elata,Mountain Cedar Wattle,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,floribunda,White Sally Wattle,No,Unknown,Group,
Wattle,Mimosaceae,Acacia*,podalyriifolia,Queensland Silver Wattle,No,Unknown,Group,
